SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
517385,SYMPHONY    ,B ,Q,1310.00,1320.00,1292.85,1304.75,1304.95,1304.85,188,1184,1546037.00,
517393,VINTRON INF.,XD,Q,1.75,1.75,1.75,1.75,1.75,1.75,1,500,875.00,
517399,VXL INSTRUM.,XT,Q,7.60,8.01,7.60,8.01,8.01,7.63,5,1081,8647.00,
517403,SUN SOURCE  ,XT,Q,4.41,4.58,4.19,4.58,4.58,4.41,12,2975,13167.00,
517411,SHYAM TELEC.,B ,Q,33.55,34.50,32.40,32.75,32.40,32.70,121,23114,775896.00,
517415,LEE&NEE SOFT,XD,Q,3.30,3.36,3.10,3.22,3.22,3.22,21,9735,30752.00,
517417,PATEL AIRTEM,XD,Q,185.95,185.95,182.00,183.00,183.00,180.95,19,1725,316229.00,
517421,BFLYGANDHI  ,B ,Q,196.00,200.00,193.00,193.50,193.50,193.90,310,10969,2165759.00,
517429,ATHENAGLO   ,XD,Q,32.50,32.90,32.00,32.55,32.55,32.60,13,1090,35033.00,
517437,DUTRON POLY.,XT,Q,139.00,147.35,139.00,146.75,146.75,140.40,23,2116,301396.00,
517447,R.S.SOFTWARE,B ,Q,101.90,103.90,100.25,100.65,100.65,101.75,1872,114493,11663473.00,
517449,MAGNA ELECTR,XD,Q,165.00,172.00,164.50,165.45,166.00,162.65,35,4004,666280.00,
517467,MARSONS     ,XD,Q,16.70,16.85,15.85,16.15,16.15,16.40,229,195535,3182777.00,
517477,ELNET TECH. ,XD,Q,117.05,117.15,108.10,110.65,110.65,115.75,147,10608,1206309.00,
517481,ARTECH POWER,XD,Q,41.00,41.00,40.80,40.95,41.00,40.75,1135,63116,2582308.00,
517494,ACCEL TRANS ,XD,Q,6.75,6.75,6.75,6.75,6.75,6.75,2,20,135.00,
517498,WEBELSOLAR  ,B ,Q,53.50,57.40,52.50,55.80,55.80,52.60,346,16565,910880.00,
517500,ROTO PUMPS  ,XD,Q,59.80,61.00,59.35,59.80,59.50,59.60,84,9076,546311.00,
517506,TTK PRESTIGE,A ,Q,5742.55,5825.00,5740.00,5787.60,5782.10,5811.50,86,327,1886004.00,
517514,DHINDIA     ,XD,Q,21.90,23.35,21.90,22.20,22.20,21.00,31,7133,159942.00,
517518,LLOYD ELECT.,B ,Q,304.60,314.80,301.80,311.55,311.55,303.40,2008,73200,22627247.00,
517522,RAJ GLO WIR ,XD,Q,619.45,625.00,605.00,615.50,619.00,603.90,128,5047,3117693.00,
517530,SURANATP    ,B ,Q,4.91,5.18,4.90,5.14,5.14,5.18,6,12221,61358.00,
517536,ONWARD TECHN,B ,Q,69.80,69.80,68.00,68.05,68.00,68.45,13,2000,136323.00,
